n1|n2|prop
dbpedia.SpaceShuttle|dbpedia.MeanOfTransportation|is-a
dbpedia.MilitaryVehicle|dbpedia.MeanOfTransportation|is-a
dbpedia.Locomotive|dbpedia.MeanOfTransportation|is-a
dbpedia.Automobile|dbpedia.MeanOfTransportation|is-a
dbpedia.Rocket|dbpedia.MeanOfTransportation|is-a
dbpedia.Train|dbpedia.MeanOfTransportation|is-a
dbpedia.Motorcycle|dbpedia.MeanOfTransportation|is-a
dbpedia.Ship|dbpedia.MeanOfTransportation|is-a
dbpedia.SpaceStation|dbpedia.MeanOfTransportation|is-a
dbpedia.Spacecraft|dbpedia.MeanOfTransportation|is-a
dbpedia.Prison|dbpedia.Building|is-a
dbpedia.Hospital|dbpedia.Building|is-a
dbpedia.Museum|dbpedia.Building|is-a
dbpedia.Factory|dbpedia.Building|is-a
dbpedia.Hotel|dbpedia.Building|is-a
dbpedia.Library|dbpedia.Building|is-a
dbpedia.Restaurant|dbpedia.Building|is-a
dbpedia.Skyscraper|dbpedia.Building|is-a
dbpedia.ShoppingMall|dbpedia.Building|is-a
dbpedia.HistoricBuilding|dbpedia.Building|is-a
dbpedia.Castle|dbpedia.Building|is-a
dbpedia.Casino|dbpedia.Building|is-a
dbpedia.Archaea|dbpedia.Species|is-a
dbpedia.Bacteria|dbpedia.Species|is-a
dbpedia.HandballPlayer|dbpedia.Athlete|is-a
dbpedia.Cricketer|dbpedia.Athlete|is-a
dbpedia.Jockey|dbpedia.Athlete|is-a
dbpedia.HighDiver|dbpedia.Athlete|is-a
dbpedia.TeamMember|dbpedia.Athlete|is-a
dbpedia.LacrossePlayer|dbpedia.Athlete|is-a
dbpedia.TennisPlayer|dbpedia.Athlete|is-a
dbpedia.BullFighter|dbpedia.Athlete|is-a
dbpedia.Fencer|dbpedia.Athlete|is-a
dbpedia.SoccerPlayer|dbpedia.Athlete|is-a
dbpedia.Surfer|dbpedia.Athlete|is-a
dbpedia.Rower|dbpedia.Athlete|is-a
dbpedia.TableTennisPlayer|dbpedia.Athlete|is-a
dbpedia.NationalCollegiateAthleticAssociationAthlete|dbpedia.Athlete|is-a
dbpedia.ArcherPlayer|dbpedia.Athlete|is-a
dbpedia.WaterPoloPlayer|dbpedia.Athlete|is-a
dbpedia.Swimmer|dbpedia.Athlete|is-a
dbpedia.AthleticsPlayer|dbpedia.Athlete|is-a
dbpedia.GolfPlayer|dbpedia.Athlete|is-a
dbpedia.SquashPlayer|dbpedia.Athlete|is-a
dbpedia.PokerPlayer|dbpedia.Athlete|is-a
dbpedia.BadmintonPlayer|dbpedia.Athlete|is-a
dbpedia.ChessPlayer|dbpedia.Athlete|is-a
dbpedia.RugbyPlayer|dbpedia.Athlete|is-a
dbpedia.DartsPlayer|dbpedia.Athlete|is-a
dbpedia.NetballPlayer|dbpedia.Athlete|is-a
dbpedia.MartialArtist|dbpedia.Athlete|is-a
dbpedia.Gymnast|dbpedia.Athlete|is-a
dbpedia.Canoeist|dbpedia.Athlete|is-a
dbpedia.GaelicGamesPlayer|dbpedia.Athlete|is-a
dbpedia.HorseRider|dbpedia.Athlete|is-a
dbpedia.BaseballPlayer|dbpedia.Athlete|is-a
dbpedia.Cyclist|dbpedia.Athlete|is-a
dbpedia.Bodybuilder|dbpedia.Athlete|is-a
dbpedia.AustralianRulesFootballPlayer|dbpedia.Athlete|is-a
dbpedia.BasketballPlayer|dbpedia.Athlete|is-a
dbpedia.Arachnid|dbpedia.Animal|is-a
dbpedia.Fish|dbpedia.Animal|is-a
dbpedia.Insect|dbpedia.Animal|is-a
dbpedia.Reptile|dbpedia.Animal|is-a
dbpedia.Mollusca|dbpedia.Animal|is-a
dbpedia.Bird|dbpedia.Animal|is-a
dbpedia.Amphibian|dbpedia.Animal|is-a
dbpedia.Crustacean|dbpedia.Animal|is-a
dbpedia.OverseasDepartment|dbpedia.Department|is-a
dbpedia.Park|dbpedia.Place|is-a
dbpedia.SiteOfSpecialScientificInterest|dbpedia.Place|is-a
dbpedia.ConcentrationCamp|dbpedia.Place|is-a
dbpedia.ProtectedArea|dbpedia.Place|is-a
dbpedia.Cemetery|dbpedia.Place|is-a
dbpedia.Garden|dbpedia.Place|is-a
dbpedia.WorldHeritageSite|dbpedia.Place|is-a
dbpedia.CountrySeat|dbpedia.Place|is-a
dbpedia.WineRegion|dbpedia.Place|is-a
dbpedia.HistoricPlace|dbpedia.Place|is-a
dbpedia.CyclingTeam|dbpedia.SportsTeam|is-a
dbpedia.SpeedwayTeam|dbpedia.SportsTeam|is-a
dbpedia.CanadianFootballTeam|dbpedia.SportsTeam|is-a
dbpedia.BaseballTeam|dbpedia.SportsTeam|is-a
dbpedia.BasketballTeam|dbpedia.SportsTeam|is-a
dbpedia.AmericanFootballTeam|dbpedia.SportsTeam|is-a
dbpedia.AustralianFootballTeam|dbpedia.SportsTeam|is-a
dbpedia.HockeyTeam|dbpedia.SportsTeam|is-a
dbpedia.HandballTeam|dbpedia.SportsTeam|is-a
dbpedia.CricketTeam|dbpedia.SportsTeam|is-a
dbpedia.FormulaOneTeam|dbpedia.SportsTeam|is-a
dbpedia.RugbyClub|dbpedia.SportsTeam|is-a
dbpedia.WaterRide|dbpedia.AmusementParkAttraction|is-a
dbpedia.RollerCoaster|dbpedia.AmusementParkAttraction|is-a
dbpedia.ArtisticGenre|dbpedia.Genre|is-a
dbpedia.MusicGenre|dbpedia.Genre|is-a
dbpedia.MovieGenre|dbpedia.Genre|is-a
dbpedia.LiteraryGenre|dbpedia.Genre|is-a
dbpedia.Grape|dbpedia.FloweringPlant|is-a
dbpedia.Gnetophytes|dbpedia.Plant|is-a
dbpedia.Conifer|dbpedia.Plant|is-a
dbpedia.Fern|dbpedia.Plant|is-a
dbpedia.Ginkgo|dbpedia.Plant|is-a
dbpedia.ClubMoss|dbpedia.Plant|is-a
dbpedia.Moss|dbpedia.Plant|is-a
dbpedia.GreenAlga|dbpedia.Plant|is-a
dbpedia.CultivatedVariety|dbpedia.Plant|is-a
dbpedia.Cycad|dbpedia.Plant|is-a
dbpedia.Baronet|dbpedia.BritishRoyalty|is-a
dbpedia.SnookerWorldRanking|dbpedia.SportCompetitionResult|is-a
dbpedia.OlympicResult|dbpedia.SportCompetitionResult|is-a
dbpedia.Lighthouse|dbpedia.Tower|is-a
dbpedia.WaterTower|dbpedia.Tower|is-a
dbpedia.ChristianPatriarch|dbpedia.Cleric|is-a
dbpedia.Cardinal|dbpedia.Cleric|is-a
dbpedia.Vicar|dbpedia.Cleric|is-a
dbpedia.Priest|dbpedia.Cleric|is-a
dbpedia.Saint|dbpedia.Cleric|is-a
dbpedia.Pope|dbpedia.Cleric|is-a
dbpedia.ChristianBishop|dbpedia.Cleric|is-a
dbpedia.GovernmentType|dbpedia.Type|is-a
dbpedia.DocumentType|dbpedia.Type|is-a
dbpedia.Town|dbpedia.Settlement|is-a
